INSERT INTO seats (flight_id, seat_number, seat_row, seat_column, seat_class, price_seat, is_booked) VALUES
(1, '1A', 1, 'A', 'economy', 1200000, 0),
(1, '1B', 1, 'B', 'economy', 1200000, 0),
(1, '1C', 1, 'C', 'economy', 1200000, 0),
(1, '1D', 1, 'D', 'economy', 1200000, 0),
(1, '1E', 1, 'E', 'economy', 1200000, 0),
(1, '1F', 1, 'F', 'economy', 1200000, 0),
(1, '2A', 2, 'A', 'economy', 1200000, 0),
(1, '2B', 2, 'B', 'economy', 1200000, 0),
(1, '2C', 2, 'C', 'economy', 1200000, 0),
(1, '2D', 2, 'D', 'economy', 1200000, 0),
(1, '2E', 2, 'E', 'economy', 1200000, 0),
(1, '2F', 2, 'F', 'economy', 1200000, 0),
(1, '3A', 3, 'A', 'economy', 1200000, 0),
(1, '3B', 3, 'B', 'economy', 1200000, 0),
(1, '3C', 3, 'C', 'economy', 1200000, 0),
(1, '3D', 3, 'D', 'economy', 1200000, 0),
(1, '3E', 3, 'E', 'economy', 1200000, 0),
(1, '3F', 3, 'F', 'economy', 1200000, 0),
(1, '4A', 4, 'A', 'economy', 1200000, 0),
(1, '4B', 4, 'B', 'economy', 1200000, 0),
(1, '4C', 4, 'C', 'economy', 1200000, 0),
(1, '4D', 4, 'D', 'economy', 1200000, 0),
(1, '4E', 4, 'E', 'economy', 1200000, 0),
(1, '4F', 4, 'F', 'economy', 1200000, 0),
(1, '5A', 5, 'A', 'economy', 1200000, 0),
(1, '5B', 5, 'B', 'economy', 1200000, 0),
(1, '5C', 5, 'C', 'economy', 1200000, 0),
(1, '5D', 5, 'D', 'economy', 1200000, 0),
(1, '5E', 5, 'E', 'economy', 1200000, 0),
(1, '5F', 5, 'F', 'economy', 1200000, 0),
(1, '6A', 6, 'A', 'economy', 1200000, 0),
(1, '6B', 6, 'B', 'economy', 1200000, 0),
(1, '6C', 6, 'C', 'economy', 1200000, 0),
(1, '6D', 6, 'D', 'economy', 1200000, 0),
(1, '6E', 6, 'E', 'economy', 1200000, 0),
(1, '6F', 6, 'F', 'economy', 1200000, 0),
-- Thêm các chuyến bay còn lại
(2, '1A', 1, 'A', 'economy', 1200000, 0),
(2, '1B', 1, 'B', 'economy', 1200000, 0),
(2, '1C', 1, 'C', 'economy', 1200000, 0),
(2, '1D', 1, 'D', 'economy', 1200000, 0),
(2, '1E', 1, 'E', 'economy', 1200000, 0),
(2, '1F', 1, 'F', 'economy', 1200000, 0),
(2, '2A', 2, 'A', 'economy', 1200000, 0),
(2, '2B', 2, 'B', 'economy', 1200000, 0),
(2, '2C', 2, 'C', 'economy', 1200000, 0),
(2, '2D', 2, 'D', 'economy', 1200000, 0),
(2, '2E', 2, 'E', 'economy', 1200000, 0),
(2, '2F', 2, 'F', 'economy', 1200000, 0),
(2, '3A', 3, 'A', 'economy', 1200000, 0),
(2, '3B', 3, 'B', 'economy', 1200000, 0),
(2, '3C', 3, 'C', 'economy', 1200000, 0),
(2, '3D', 3, 'D', 'economy', 1200000, 0),
(2, '3E', 3, 'E', 'economy', 1200000, 0),
(2, '3F', 3, 'F', 'economy', 1200000, 0),
(2, '4A', 4, 'A', 'economy', 1200000, 0),
(2, '4B', 4, 'B', 'economy', 1200000, 0),
(2, '4C', 4, 'C', 'economy', 1200000, 0),
(2, '4D', 4, 'D', 'economy', 1200000, 0),
(2, '4E', 4, 'E', 'economy', 1200000, 0),
(2, '4F', 4, 'F', 'economy', 1200000, 0),
(2, '5A', 5, 'A', 'economy', 1200000, 0),
-- Thêm các chuyến bay còn lại
(2, '1A', 1, 'A', 'economy', 1200000, 0),
(2, '1B', 1, 'B', 'economy', 1200000, 0),
(2, '1C', 1, 'C', 'economy', 1200000, 0),
(2, '1D', 1, 'D', 'economy', 1200000, 0),
(2, '1E', 1, 'E', 'economy', 1200000, 0),
(2, '1F', 1, 'F', 'economy', 1200000, 0),
(2, '2A', 2, 'A', 'economy', 1200000, 0),
(2, '2B', 2, 'B', 'economy', 1200000, 0),
(2, '2C', 2, 'C', 'economy', 1200000, 0),
(2, '2D', 2, 'D', 'economy', 1200000, 0),
(2, '2E', 2, 'E', 'economy', 1200000, 0),
(2, '2F', 2, 'F', 'economy', 1200000, 0),
(2, '3A', 3, 'A', 'economy', 1200000, 0),
(2, '3B', 3, 'B', 'economy', 1200000, 0),
(2, '3C', 3, 'C', 'economy', 1200000, 0),
(2, '3D', 3, 'D', 'economy', 1200000, 0),
(2, '3E', 3, 'E', 'economy', 1200000, 0),
(2, '3F', 3, 'F', 'economy', 1200000, 0),
(2, '4A', 4, 'A', 'economy', 1200000, 0),
(2, '4B', 4, 'B', 'economy', 1200000, 0),
(2, '4C', 4, 'C', 'economy', 1200000, 0),
(2, '4D', 4, 'D', 'economy', 1200000, 0),
(2, '4E', 4, 'E', 'economy', 1200000, 0),
(2, '4F', 4, 'F', 'economy', 1200000, 0),
(2, '5A', 5, 'A', 'economy', 1200000, 0),
-- Thêm các chuyến bay còn lại
(2, '1A', 1, 'A', 'economy', 1200000, 0),
(2, '1B', 1, 'B', 'economy', 1200000, 0),
(2, '1C', 1, 'C', 'economy', 1200000, 0),
(2, '1D', 1, 'D', 'economy', 1200000, 0),
(2, '1E', 1, 'E', 'economy', 1200000, 0),
(2, '1F', 1, 'F', 'economy', 1200000, 0),
(2, '2A', 2, 'A', 'economy', 1200000, 0),
(2, '2B', 2, 'B', 'economy', 1200000, 0),
(2, '2C', 2, 'C', 'economy', 1200000, 0),
(2, '2D', 2, 'D', 'economy', 1200000, 0),
(2, '2E', 2, 'E', 'economy', 1200000, 0),
(2, '2F', 2, 'F', 'economy', 1200000, 0),
(2, '3A', 3, 'A', 'economy', 1200000, 0),
(2, '3B', 3, 'B', 'economy', 1200000, 0),
(2, '3C', 3, 'C', 'economy', 1200000, 0),
(2, '3D', 3, 'D', 'economy', 1200000, 0),
(2, '3E', 3, 'E', 'economy', 1200000, 0),
(2, '3F', 3, 'F', 'economy', 1200000, 0),
(2, '4A', 4, 'A', 'economy', 1200000, 0),
(2, '4B', 4, 'B', 'economy', 1200000, 0),
(2, '4C', 4, 'C', 'economy', 1200000, 0),
(2, '4D', 4, 'D', 'economy', 1200000, 0),
(2, '4E', 4, 'E', 'economy', 1200000, 0),
(2, '4F', 4, 'F', 'economy', 1200000, 0),
(2, '5A', 5, 'A', 'economy', 1200000, 0),
-- Thêm các chuyến bay còn lại
(2, '1A', 1, 'A', 'economy', 1200000, 0),
(2, '1B', 1, 'B', 'economy', 1200000, 0),
(2, '1C', 1, 'C', 'economy', 1200000, 0),
(2, '1D', 1, 'D', 'economy', 1200000, 0),
(2, '1E', 1, 'E', 'economy', 1200000, 0),
(2, '1F', 1, 'F', 'economy', 1200000, 0),
(2, '2A', 2, 'A', 'economy', 1200000, 0),
(2, '2B', 2, 'B', 'economy', 1200000, 0),
(2, '2C', 2, 'C', 'economy', 1200000, 0),
(2, '2D', 2, 'D', 'economy', 1200000, 0),
(2, '2E', 2, 'E', 'economy', 1200000, 0),
(2, '2F', 2, 'F', 'economy', 1200000, 0),
(2, '3A', 3, 'A', 'economy', 1200000, 0),
(2, '3B', 3, 'B', 'economy', 1200000, 0),
(2, '3C', 3, 'C', 'economy', 1200000, 0),
(2, '3D', 3, 'D', 'economy', 1200000, 0),
(2, '3E', 3, 'E', 'economy', 1200000, 0),
(2, '3F', 3, 'F', 'economy', 1200000, 0),
(2, '4A', 4, 'A', 'economy', 1200000, 0),
(2, '4B', 4, 'B', 'economy', 1200000, 0),
(2, '4C', 4, 'C', 'economy', 1200000, 0),
(2, '4D', 4, 'D', 'economy', 1200000, 0),
(2, '4E', 4, 'E', 'economy', 1200000, 0),
(2, '4F', 4, 'F', 'economy', 1200000, 0),
(2, '5A', 5, 'A', 'economy', 1200000, 0),
-- Thêm các chuyến bay còn lại
(2, '1A', 1, 'A', 'economy', 1200000, 0),
